protein	Intercept_value	Intercept_se	Intercept_t	Intercept_p	beta_value	beta_se	beta_t	beta_p	rsquared	samples	rsquared_rank
Q6UB28	-0.142784626128205	0.222523921742337	-0.641659669711991	0.525396767592209	0.864476835235591	0.0671106544856588	12.8813649913119	1.23389110715029e-14	0.829940108340853	PLA	149
Q6UWL2	0.662172977029659	0.153017552665439	4.32743149720507	0.000125504648123415	0.675817457009745	0.0552348335150808	12.2353488550885	5.24668134110075e-14	0.814919413174703	PLA	185
Q6UWL6	0.734494917339981	0.0913545178616256	8.04005028467797	2.26307616436554e-09	0.186186826156995	0.149497322787243	1.24541913317048	0.221492664251826	0.0436293160478413	PLA	1236
Q6UWN8	0.114594403662739	0.0526490868489821	2.17656963341909	0.0365522957634825	0.903286382653032	0.0682176102534896	13.2412492800101	5.62557761667638e-15	0.837577561040283	PLA	126
Q6UWV6	-0.351730564667148	0.102293922768288	-3.43843070192815	0.00156375930340543	0.896001128901079	0.124196683245259	7.2143724412647	2.3945680456958e-08	0.604867886879587	PLA	597
Q6UWW8	1.10761950674481	0.234957104331437	4.71413499028474	4.02033846938148e-05	0.754493457611294	0.0751792605447883	10.0359254951943	1.06411082665216e-11	0.747624329442054	PLA	349
Q6UX15	0.0895853557301878	0.146301720219206	0.612332893939736	0.54439135594443	0.543152480882148	0.157854331052142	3.44084623628563	0.00155347120528454	0.258280364213935	PLA	1057
Q6UX27	0.130495077400572	0.0575390687862913	2.26793863983531	0.0298022172930789	0.634872926378668	0.0733159031556185	8.65941629377603	4.06219275564127e-10	0.68803186709757	PLA	460
Q6UX82	0.338250688041594	0.0732289151106582	4.61908642959484	5.32636540916313e-05	0.0951394475910564	0.0365949427391566	2.59979768978453	0.013702349332809	0.165827342334681	PLA	1159
Q6UXB2	0.150709828498358	0.135984892181946	1.10828361945318	0.27551796256497	0.79676637147787	0.0887819639209845	8.97441705825507	1.72734841578788e-10	0.703160886590313	PLA	441
Q6UXB4	-0.119252959660133	0.0812888643567048	-1.4670270104505	0.151558410209114	0.778642071459108	0.114198856320391	6.81830008239827	7.60965095043017e-08	0.577583163510482	PLA	638
Q6UXD5	0.331522229407361	0.0588136075263407	5.63682867538577	2.55344712241419e-06	0.600775532427879	0.11524826162484	5.21288151298578	9.09245400744535e-06	0.444209538229277	PLA	840
Q6UXG3	0.0709735386630952	0.0971739982174757	0.73037582033268	0.470163578773728	0.695642409389156	0.15054540324432	4.6208146804735	5.29923172624037e-05	0.385748590206358	PLA	907
Q6UXH1	0.51592914728729	0.132452911439723	3.89518917839778	0.000436833691998097	0.897537456737492	0.10893431466244	8.23925371466958	1.29588004920523e-09	0.66629141389613	PLA	494
Q6UXH9	0.398195975657628	0.0812067048815378	4.90348643302921	2.2904267050154e-05	0.474381064336641	0.151786782086471	3.12531208459503	0.00362355481806861	0.223169217997249	PLA	1100
Q6UXK2	0.684638623030799	0.0641636576857501	10.6701931860541	2.15895489976269e-12	0.620752384617737	0.141678344795554	4.38142036112507	0.000107176334960042	0.360864344573427	PLA	940
